,date,lon,lat,mslp,ws
0,2024-06-30T06,-51.65217391304347,11.281337047353759,100645.71094638089,17.745371675215576
1,2024-06-30T12,-54.156521739130426,10.779944289693589,101027.28535718555,15.184781108497937
2,2024-06-30T18,-54.78260869565216,10.779944289693589,100876.19346716264,12.833540342906268
3,2024-07-01T00,-57.286956521739114,11.281337047353759,101088.70970103395,11.212388243937434
4,2024-07-01T06,-58.53913043478259,12.284122562674085,100934.33679114521,12.180628323976835
5,2024-07-01T12,-59.79130434782607,12.284122562674085,101123.60288030138,13.427992878121497
6,2024-07-01T18,-62.29565217391304,12.785515320334255,101028.12649399701,13.647092235716537
7,2024-07-02T00,-63.54782608695652,12.785515320334255,101154.70203769085,12.795509370948956
8,2024-07-02T06,-66.05217391304348,13.286908077994426,101080.96988988492,11.477804729542067
9,2024-07-02T12,-68.55652173913043,13.788300835654596,101219.89084839274,12.158923227569925
10,2024-07-02T18,-71.06086956521739,11.281337047353759,100965.75842623804,8.292617590526492
11,2024-07-03T00,-70.43478260869564,9.777158774373248,100870.71102412499,7.810589169085668
12,2024-07-03T06,-70.43478260869564,9.777158774373248,101006.7465909382,9.419004322629403
13,2024-07-03T12,-70.43478260869564,9.777158774373248,101230.8541533455,9.244234407479466
14,2024-07-03T18,-71.06086956521739,9.275766016713092,101141.5439615473,6.225326913007952
15,2024-07-04T00,-72.31304347826087,6.768802228412255,101146.59823737058,2.807624385894799
16,2024-07-04T06,-72.31304347826087,6.768802228412255,101272.6591753332,3.1691469955259466
17,2024-07-04T12,-72.31304347826087,6.768802228412255,101384.37843073082,3.0358511162827404
18,2024-07-04T18,-73.56521739130434,5.766016713091915,101140.94681154545,3.0838467307044852
19,2024-07-05T00,-73.56521739130434,5.766016713091915,101119.0260678336,3.3451575436329892
